epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,1015.64,0.90827,0.54548,1.05862,0.79294,0.82633,0.8892,0.59034,1.19821,0.82789,1.16372,0.00011562,0.00011562,0.00011562
120,1024.4,0.91019,0.55297,1.06182,0.77331,0.80502,0.86422,0.53483,1.3187,0.84091,1.18862,0.000114244,0.000114244,0.000114244
121,1032.61,0.92611,0.55023,1.06397,0.78531,0.8021,0.86602,0.5754,1.17992,0.82197,1.15312,0.000112868,0.000112868,0.000112868
122,1041.14,0.90728,0.52865,1.05093,0.78856,0.83319,0.87358,0.59061,1.13516,0.84053,1.13795,0.000111492,0.000111492,0.000111492
123,1049.87,0.91777,0.54905,1.05666,0.80545,0.79216,0.87598,0.58983,1.16294,0.81934,1.14595,0.000110116,0.000110116,0.000110116
124,1058.01,0.90944,0.53755,1.05801,0.82097,0.85203,0.90523,0.62127,1.12757,0.7212,1.13389,0.00010874,0.00010874,0.00010874
125,1066.74,0.87907,0.52557,1.04446,0.79862,0.81652,0.8771,0.5978,1.14971,0.79619,1.13344,0.000107364,0.000107364,0.000107364
126,1075.47,0.89771,0.53854,1.05797,0.74561,0.81767,0.85603,0.56649,1.21707,0.86978,1.17078,0.000105987,0.000105987,0.000105987
127,1083.45,0.8991,0.54549,1.05581,0.82276,0.80693,0.87996,0.60475,1.1273,0.81762,1.13431,0.000104611,0.000104611,0.000104611
128,1092.1,0.93306,0.55373,1.06946,0.84693,0.83037,0.91274,0.62127,1.14982,0.70192,1.14199,0.000103235,0.000103235,0.000103235
129,1100.85,0.90817,0.53663,1.05295,0.7628,0.81554,0.86666,0.58238,1.17848,0.82516,1.15237,0.000101859,0.000101859,0.000101859
130,1108.79,0.89475,0.52261,1.05267,0.77218,0.77864,0.85209,0.57436,1.17313,0.86968,1.14961,0.000100483,0.000100483,0.000100483
131,1117.48,0.90732,0.53151,1.05233,0.73683,0.81868,0.85227,0.57544,1.16503,0.88057,1.14451,9.9107e-05,9.9107e-05,9.9107e-05
132,1126.34,0.8704,0.51377,1.03969,0.84929,0.83307,0.91228,0.62375,1.14065,0.70818,1.14125,9.77309e-05,9.77309e-05,9.77309e-05
133,1134.42,0.89379,0.52754,1.054,0.81475,0.84744,0.90509,0.61137,1.15837,0.7335,1.14784,9.63548e-05,9.63548e-05,9.63548e-05
